股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ301518,N长华化学,34.82,9.07,35.22,35.22,24497132,879905934.68,61.343,4881005063.0,73.69,
SZ301509,N金凯生科,72.52,15.96,28.22,28.22,14503720,1091756507.61,36.938,6239137454.0,71.1,
SZ300892,品渥食品,30.96,5.16,188.82,5.67,12847648,373135088.17,,3096000000.0,40.59,0.0
SZ300169,天晟新材,8.48,1.41,26.25,105.33,143458951,1120282053.48,,2764347203.0,47.54,0.0
SZ300149,睿智医药,9.47,1.5,51.46,-9.03,61390988,568264742.71,13.898,4732887167.0,12.31,0.0
SZ301386,未来电器,31.93,4.34,-5.64,8.08,18218018,540283556.61,54.106,4470200000.0,54.88,1.253
SZ300583,赛托生物,34.27,4.57,44.01,50.46,8342377,270695498.25,58.373,4063182420.0,7.99,0.044
SZ301519,舜禹股份,37.31,4.55,62.97,78.26,27552237,976877331.64,59.756,6124809600.0,70.58,0.0
SZ300510,金冠股份,7.11,0.85,43.98,32.9,100610878,681268816.87,83.1,5891515652.0,12.24,0.0
SZ300803,指南针,62.99,5.99,44.0,37.77,41993351,2545736677.45,199.316,25717292579.0,10.41,0.0
SZ301333,诺思格,55.3,5.15,14.11,7.78,3059408,169967215.97,45.911,5308800000.0,5.39,0.282
SZ000908,景峰医药,3.25,0.3,0.0,2.2,59090880,189361386.4,,2859266641.0,7.56,0.0
SZ002146,荣盛发展,3.04,0.28,292.88,40.09,838989346,2410078013.39,,13218418107.0,21.53,0.0
SZ000838,财信发展,4.8,0.44,0.0,-10.61,77423302,347223282.26,,5282218416.0,7.35,0.0
SH600613,神奇制药,7.44,0.68,306.94,-8.18,23212882,171211031.0,81.419,3973492912.0,4.84,1.344
SH601901,方正证券,7.88,0.72,43.59,23.72,326449959,2512028687.0,29.128,64868958993.0,3.97,0.152
SH601136,首创证券,20.08,1.83,43.99,15.27,119306911,2284370058.0,84.97,54885342704.0,43.65,0.921
SZ002535,林州重机,5.16,0.47,16.36,108.91,71023953,355021358.27,98.907,4136684662.0,12.44,0.0
SH603038,华立股份,11.1,1.01,43.98,55.85,5237316,58134208.0,114.01,2294089137.0,2.53,0.306
SH600621,华鑫股份,13.41,1.22,245.24,31.01,113636685,1490698395.0,39.701,14226659506.0,10.71,0.746
SH601456,国联证券,11.65,1.06,44.0,3.56,163508093,1888909378.0,41.984,32990157407.0,6.84,0.0
SH605266,健之佳,59.19,5.38,44.0,-2.2,3197150,181656773.0,18.686,7630259433.0,4.19,1.897
SH603383,顶点软件,62.7,5.7,43.99,46.06,4557660,278723200.0,57.697,10735322578.0,2.7,1.276
SH603536,惠发食品,9.69,0.88,44.04,21.43,11251193,107479024.0,,2370583887.0,4.6,0.0
SZ002719,麦趣尔,12.88,1.17,44.05,-22.97,33624500,416239222.62,,2242916206.0,20.77,0.0
SH600683,京投发展,7.71,0.7,286.67,67.25,107767543,804035813.0,28.497,5711395273.0,14.55,0.0
SH600239,云南城投,3.53,0.32,231.07,82.9,268360103,944335845.0,,5668074789.0,16.71,0.0
SZ002251,步步高,5.96,0.54,62.19,-17.11,101609892,575805925.13,,5148867548.0,11.76,0.0
SH600318,新力金融,8.06,0.73,146.86,19.23,90540585,707072101.0,,4132584714.0,17.66,0.0
SH900904,神奇B股,0.674,0.061,5.26,-5.47,1925907,1277557.0,53.035,359964277.0,3.52,2.077
SZ002702,海欣食品,6.3,0.57,-8.0,-6.86,82584792,511535790.68,52.483,3028788000.0,21.39,1.587
SZ002693,双成药业,6.74,0.61,32.55,-7.29,35549497,235551603.67,219.354,2805081373.0,8.66,0.0
SH603828,柯利达,4.66,0.42,44.01,44.27,110779653,503054307.0,,2777174336.0,18.59,0.0
SZ301316,慧博云通,30.3,2.67,254.87,58.4,22468318,642449357.02,136.603,12120303000.0,61.3,0.264
SH600684,珠江股份,4.35,0.37,137.41,14.17,105389484,447815461.0,,3712554145.0,12.35,0.0
SZ301022,海泰科,29.6,2.47,80.46,44.67,8921900,252886560.36,48.507,2462720000.0,21.03,0.78
SH600743,华远地产,2.5,0.2,166.99,32.28,263139619,606051485.0,,5865252185.0,11.22,0.0
SH688318,财富趋势,162.99,13.01,87.41,156.85,12591011,1940520922.0,129.158,21298424868.0,20.01,0.219
SZ002610,爱康科技,2.8,0.22,86.25,-1.75,477118082,1334444232.74,,12542691064.0,10.66,0.0
SH688621,阳光诺和,60.99,4.78,346.6,-16.03,2288277,134922196.0,40.067,6830880000.0,3.22,0.703
SH688046,药康生物,20.39,1.58,-17.89,-15.04,4395667,87794461.0,50.553,8359900000.0,2.99,0.201
SZ000090,天健集团,6.71,0.51,158.38,31.12,160754870,1050300765.02,9.978,12537939862.0,8.6,4.769
SZ001301,尚太科技,58.23,4.4,44.01,0.12,6735402,387691026.42,12.915,15126674958.0,10.37,1.717
SZ300333,兆日科技,7.8,0.58,9.65,34.02,65289583,507494907.98,,2620800000.0,19.56,0.0
SZ301366,一博科技,38.92,2.75,-8.19,49.79,7469453,285670554.76,39.368,5838000039.0,21.42,0.999
SH600280,中央商场,5.41,0.37,157.86,65.44,196961478,1001699556.0,,6104291203.0,17.46,0.0
SZ301277,新天地,20.7,1.41,47.41,9.16,9296415,190349032.77,28.564,4140828000.0,18.58,1.609
SH600109,国金证券,10.49,0.71,0.0,21.13,210722596,2157015442.0,23.376,39068529162.0,6.56,0.381
SH603721,中广天择,18.46,1.2,43.97,10.27,12571953,231132701.0,141.502,2399800000.0,9.67,0.813
SZ002581,未名医药,18.33,1.18,12.63,16.38,10277437,184678291.32,,12092953291.0,2.56,0.0
SZ300759,康龙化成,30.0,1.93,43.99,-33.31,53152540,1550411358.29,36.371,53601966180.0,3.74,0.667
SH603125,常青科技,31.29,2.01,71.67,20.8,10674323,331405829.0,28.714,6024889500.0,22.63,0.288
SH600773,西藏城投,15.08,0.94,177.99,-16.81,43005451,636858479.0,104.927,12360484020.0,5.25,0.106
SZ000766,通化金马,5.8,0.36,266.11,10.06,37032070,212593678.61,178.948,5605669301.0,4.32,0.0
SH688443,智翔金泰-U,30.76,1.88,-10.19,-18.8,5368296,162512654.0,,11279076800.0,6.49,
SZ002349,精华制药,9.52,0.57,27.02,-20.53,58575059,552366158.37,33.259,7751002244.0,7.22,0.84
SZ301201,诚达药业,27.25,1.62,76.85,-13.55,6238654,167879647.01,42.202,4215951704.0,7.43,0.69
SZ300085,银之杰,14.05,0.83,10.43,51.08,67547805,933752239.55,,9928299517.0,12.82,0.0
SZ300779,惠城环保,51.6,3.0,44.0,51.32,6248256,319751467.76,74.833,6977550660.0,6.55,0.0
SH601012,隆基绿能,30.85,1.76,-5.95,-26.0,294502147,8985302113.0,14.817,233886257222.0,3.89,1.297
SH688005,容百科技,54.36,3.06,86.06,-20.56,9805470,523437344.0,24.711,24625252321.0,3.48,0.554
SH688293,奥浦迈,53.17,2.99,58.65,-27.34,2066327,109729108.0,58.513,6102451698.0,8.34,0.807
SZ300898,熊猫乳品,28.29,1.59,476.53,16.79,17096778,480739738.67,58.228,3540917850.0,32.15,0.707
SZ301218,华是科技,33.1,1.85,80.23,75.65,21461845,709014258.06,99.666,3774724000.0,38.3,0.157
SZ002797,第一创业,6.81,0.38,43.98,21.78,323038670,2147716929.42,60.916,28618344000.0,7.82,0.587
SH603456,九洲药业,28.51,1.57,44.01,-31.78,12642915,352324126.0,25.804,25644526271.0,1.41,1.403
SH600095,湘财股份,9.45,0.52,0.0,26.06,163934132,1512795812.0,,27018971384.0,5.73,0.73
SH688630,芯碁微装,78.33,4.29,189.56,-6.12,3354024,258719064.0,62.906,9462264000.0,4.89,0.0
SZ301106,骏成科技,39.2,2.12,15.6,47.14,2335364,91252236.6,35.103,2845397386.0,11.2,1.531
SZ002821,凯莱英,132.54,7.08,43.99,-9.14,7387080,960152567.61,14.273,48994124198.0,2.25,1.358
SZ002820,桂发祥,12.26,0.64,43.98,-9.32,29225780,354720147.2,,2462645297.0,14.59,1.223
SZ301299,卓创资讯,61.5,3.21,62.35,24.81,4787524,295725123.43,65.467,3690000000.0,31.92,1.301
SH601555,东吴证券,9.46,0.49,13.08,48.06,242728239,2257244665.0,21.487,47370975078.0,4.85,1.67
SZ002727,一心堂,26.55,1.37,44.02,-14.48,18237019,476811473.82,14.788,15824421934.0,4.55,1.507
SZ301152,天力锂能,50.71,2.61,20.51,5.93,5897643,294963192.58,83.149,6185722788.0,21.14,0.592
SH688137,近岸蛋白,56.71,2.89,-28.89,-24.64,1255883,70476080.0,64.61,3979649146.0,7.4,0.882
