排名:,标题:,主演:,评分:
1,肖申克的救赎,蒂姆·罗宾斯,9.7
2,霸王别姬,张国荣,9.6
3,阿甘正传,汤姆·汉克斯,9.5
4,泰坦尼克号,莱昂纳多·迪卡普里奥,9.5
5,这个杀手不太冷,让·雷诺,9.4
6,千与千寻,柊瑠美,9.4
7,美丽人生,罗伯托·贝尼尼,9.6
8,辛德勒的名单,连姆·尼森,9.6
9,星际穿越,马修·麦康纳,9.4
10,盗梦空间,莱昂纳多·迪卡普里奥,9.4
11,楚门的世界,金·凯瑞,9.4
12,忠犬八公的故事,理查·基尔,9.4
13,海上钢琴师,蒂姆·罗斯,9.3
14,三傻大闹宝莱坞,阿米尔·汗,9.2
15,放牛班的春天,让-巴蒂斯特·莫尼...,9.3
16,机器人总动员,本·贝尔特,9.3
17,无间道,刘德华,9.3
18,疯狂动物城,金妮弗·...,9.2
19,控方证人,泰隆·鲍华,9.6
20,大话西游之大圣娶亲,周星驰,9.2
21,熔炉,孔侑,9.4
22,教父,马龙·白兰度,9.3
23,触不可及,,9.3
24,当幸福来敲门,威尔·史密斯,9.2
25,龙猫,日高法子,9.2
26,怦然心动,玛德琳·卡罗尔,9.1
27,末代皇帝,尊龙,9.3
28,寻梦环游记,...,9.1
29,活着,葛优,9.3
30,蝙蝠侠：黑暗骑士,克里斯蒂安·贝尔,9.2
31,哈利·波特与魔法石,Daniel,9.2
32,指环王3：王者无敌,伊利亚·伍德,9.3
33,乱世佳人,费...,9.3
34,我不是药神,徐峥,9.0
35,飞屋环游记,爱德...,9.1
36,素媛,薛景求,9.3
37,哈尔的移动城堡,倍赏千惠子,9.1
38,十二怒汉,亨利·方达,9.4
39,何以为家,扎因·拉费阿,9.1
40,摔跤吧！爸爸,阿米尔·汗,9.0
41,让子弹飞,姜文,9.0
42,天空之城,田中真弓,9.2
43,鬼子来了,姜文,9.3
44,猫鼠游戏,莱昂纳多·迪卡普里奥,9.1
45,少年派的奇幻漂流,苏拉·沙玛,9.1
46,海蒂和爷爷,阿努克·斯特芬,9.3
47,钢琴家,艾德里安·布洛迪,9.3
48,大话西游之月光宝盒,周星驰,9.0
